Job_Role,Company,Job_location,Employment_type,Posted,Easy_Apply,Seniority_level,Industries,Job_Function
Data Analyst,TechNex Technologies Private Limited,"Pune, Maharashtra, India",Full-time,1 month ago,No,Entry level,IT Services and IT Consulting,Information Technology
Data Analyst,Chalo,"Mumbai, Maharashtra, India",Full-time,1 month ago,No,Entry level,Staffing and Recruiting,Information Technology
Data Analyst - Rajkot,Foursis Technical Solutions,"Rajkot, Gujarat, India",Full-time,1 month ago,No,Entry level,Staffing and Recruiting,Information Technology
Jr. Power BI,Tamcherry - Zaportiv,"Navi Mumbai, Maharashtra, India",Full-time,4 months ago,Yes,Mid-Senior level,Information Technology & Services,Business Development and Sales
SDTM,GSK,"Bangalore Urban, Karnataka, India",Full-time,2 weeks ago,Yes,Mid-Senior level,Pharmaceutical Manufacturing,Health Care Provider
Data Analyst,Acme Services,"Gurgaon, Haryana, India",Full-time,3 months ago,No,Entry level,Human Resources Services,Other
Interesting Job Opportunity: EY - Data Analyst,EY,"Pune, Maharashtra, India",Full-time,,No,Entry level,Data Infrastructure and Analytics,Information Technology
Data Analyst - BI Team,KreditBee,"Bengaluru, Karnataka, India",Full-time,2 months ago,No,Entry level,Financial Services,Information Technology
Data Analyst,Acme Services,"Mumbai, Maharashtra, India",Full-time,5 months ago,Yes,Mid-Senior level,IT Services and IT Consulting,Information Technology
Data Analyst Trainer,ExcelR Solutions,"Pune, Maharashtra, India",Part-time,3 weeks ago,Yes,Mid-Senior level,E-Learning Providers,Training
Data Analyst,Acme Services,"Mumbai, Maharashtra, India",Full-time,5 months ago,Yes,Mid-Senior level,Financial Services,Information Technology
Data Analyst,COWRKS,"Bengaluru, Karnataka, India",Full-time,1 month ago,No,Entry level,Staffing and Recruiting,Information Technology
Data Base Analyst,"Novisync, Inc",India,Full-time,3 months ago,Yes,Mid-Senior level,IT Services and IT Consulting,Information Technology
Data Analyst,Dimensions HRD Consultants,Pune/Pimpri-Chinchwad Area,,3 months ago,No,,,
Data Analyst,IntouchCX,"Hyderabad, Telangana, India",Full-time,1 month ago,Yes,Associate,"Technology, Information and Internet",Information Technology
Junior Data Analyst,IntouchCX,"Hyderabad, Telangana, India",Full-time,3 weeks ago,Yes,Associate,"Technology, Information and Internet",Information Technology
SENIOR DATA ANALYST,Walmart Global Tech India,"Bengaluru, Karnataka, India",Full-time,1 week ago,No,Mid-Senior level,IT Services and IT Consulting,Information Technology
Graduate Data Analyst,YouGov,"Navi Mumbai, Maharashtra, India",Full-time,3 weeks ago,Yes,Entry level,Market Research,Information Technology
Data Analyst,Falcon Autotech,"Noida, Uttar Pradesh, India",Full-time,1 month ago,No,Mid-Senior level,Automation Machinery Manufacturing,Information Technology
STAFF DATA ANALYST,Walmart Global Tech India,"Bengaluru, Karnataka, India",Full-time,1 week ago,No,Mid-Senior level,IT Services and IT Consulting,Information Technology
Senior Analyst -Analytics -Tableau/Power BI,DataZymes,"Bengaluru, Karnataka, India",Full-time,3 weeks ago,Yes,Mid-Senior level,Business Consulting and Services,Business Development and Sales
Data Analyst,Awign,"Bengaluru North, Karnataka, India",Full-time,1 month ago,No,Associate,"Technology, Information and Internet",Information Technology
Power BI Analyst,Tryzens,"Thiruvananthapuram, Kerala, India",Full-time,1 month ago,Yes,Mid-Senior level,"Technology, Information and Internet",Information Technology
Business Intelligence Analyst,Porter,Mumbai Metropolitan Region,Full-time,1 month ago,No,Mid-Senior level,Truck Transportation,"Research, Analyst, and Information Technology"
"Senior Analyst- Data Platform (Full Time, Remote)",Hike,"Delhi, India",Full-time,4 weeks ago,Yes,Mid-Senior level,"Technology, Information and Internet",Information Technology
Data Analyst,TechNex Technologies Private Limited,"Pune, Maharashtra, India",Full-time,1 month ago,No,Entry level,IT Services and IT Consulting,Information Technology
Data Analyst,Chalo,"Mumbai, Maharashtra, India",Full-time,1 month ago,No,Entry level,Staffing and Recruiting,Information Technology
Data Analyst - Rajkot,Foursis Technical Solutions,"Rajkot, Gujarat, India",Full-time,1 month ago,No,Entry level,Staffing and Recruiting,Information Technology
Jr. Power BI,Tamcherry - Zaportiv,"Navi Mumbai, Maharashtra, India",Full-time,4 months ago,Yes,Mid-Senior level,Information Technology & Services,Business Development and Sales
SDTM,GSK,"Bangalore Urban, Karnataka, India",Full-time,2 weeks ago,Yes,Mid-Senior level,Pharmaceutical Manufacturing,Health Care Provider
Data Analyst,Acme Services,"Gurgaon, Haryana, India",Full-time,3 months ago,No,Entry level,Human Resources Services,Other
